COM,Commune,PMUN,PCAP,PTOT
59178,Douai,39833,871,40704
59179,Douchy-les-Mines,10112,45,10157
59180,Le Doulieu,1445,23,1468
59181,Dourlers,537,7,544
59182,Drincham,282,4,286
59183,Dunkerque,87013,1239,88252
59184,Ebblinghem,658,10,668
59185,Ãcaillon,1883,14,1897
59186,Eccles,92,2,94
59187,Ãclaibes,265,6,271
59188,ÃcuÃ©lin,143,2,145
59189,Eecke,1215,27,1242
59190,Ãlesmes,1002,17,1019
59191,Ãlincourt,618,3,621
59192,Ãmerchicourt,813,46,859
59193,Emmerin,3026,23,3049
59194,Englefontaine,1290,21,1311
59195,Englos,616,9,625
59196,EnnetiÃ¨res-en-Weppes,1288,22,1310
59197,Ennevelin,2417,30,2447
59198,Eppe-Sauvage,229,0,229
59199,Erchin,674,11,685
59200,Eringhem,469,12,481
59201,Erquinghem-le-Sec,624,12,636
59202,Erquinghem-Lys,5349,46,5395
59203,Erre,1576,8,1584
59204,Escarmain,478,8,486
59205,Escaudain,9060,45,9105
59206,EscaudÅuvres,3180,29,3209
59207,Escautpont,4174,24,4198
59208,Escobecques,303,9,312
59209,Esnes,673,7,680
59210,Esquelbecq,2143,55,2198
59211,Esquerchin,902,20,922
59212,Estaires,6551,125,6676
59213,Estourmel,470,17,487
59214,EstrÃ©es,1121,23,1144
59215,Estreux,945,33,978
59216,Eswars,360,6,366
59217,Eth,334,4,338
59218,ÃtrÅungt,1255,15,1270
59219,Estrun,721,8,729
59220,Faches-Thumesnil,18310,117,18427
59221,Famars,2459,68,2527
59222,Faumont,2255,46,2301
59223,Le Favril,504,8,512
59224,FÃ©chain,1654,13,1667
59225,Feignies,6727,64,6791
59226,Felleries,1459,14,1473
59227,Fenain,5533,46,5579
59228,FÃ©rin,1441,21,1462
59229,FÃ©ron,509,18,527
59230,FerriÃ¨re-la-Grande,5167,52,5219
59231,FerriÃ¨re-la-Petite,1043,5,1048
59232,La Flamengrie,433,8,441
59233,Flaumont-Waudrechies,345,3,348
59234,Flers-en-Escrebieux,5533,33,5566
59236,FlesquiÃ¨res,269,3,272
59237,FlÃªtre,946,15,961
59238,Flines-lÃ¨s-Mortagne,1667,18,1685
59239,Flines-lez-Raches,5677,94,5771
59240,Floursies,127,3,130
59241,Floyon,508,15,523
59242,Fontaine-au-Bois,691,10,701
59243,Fontaine-au-Pire,1209,12,1221
59244,Fontaine-Notre-Dame,1759,30,1789
59246,Forest-en-CambrÃ©sis,558,7,565
59247,Forest-sur-Marque,1660,26,1686
59249,Fourmies,11528,187,11715
59250,Fournes-en-Weppes,2167,106,2273
59251,Frasnoy,384,4,388
59252,Frelinghien,2617,23,2640
59253,Fresnes-sur-Escaut,7473,40,7513
59254,Fressain,906,11,917
59255,Fressies,573,5,578
59256,Fretin,3221,33,3254
59257,Fromelles,1133,15,1148
59258,Genech,2811,656,3467
59259,Ghissignies,501,13,514
59260,Ghyvelde,4126,61,4187
59261,Glageon,1732,31,1763
59262,Godewaersvelde,2037,29,2066
59263,GÅulzin,1044,27,1071
59264,Gognies-ChaussÃ©e,725,7,732
59265,Gommegnies,2272,57,2329
59266,Gondecourt,4099,47,4146
59267,Gonnelieu,283,8,291
59268,La Gorgue,5553,55,5608
59269,Gouzeaucourt,1434,24,1458
59270,Grand-Fayt,471,7,478
59271,Grande-Synthe,20347,189,20536
59272,Grand-Fort-Philippe,4901,49,4950
59273,Gravelines,11451,182,11633
59274,La Groise,470,4,474
59275,Gruson,1223,35,1258
59276,Guesnain,4645,27,4672
59277,Gussignies,354,3,357
59278,Hallennes-lez-Haubourdin,4739,40,4779
59279,Halluin,20684,141,20825
59280,Hamel,786,9,795
59281,Hantay,1249,14,1263
59282,Hardifort,389,9,398
59283,Hargnies,613,10,623
59284,Hasnon,3853,37,3890
59285,Haspres,2632,16,2648
59286,Haubourdin,14922,103,15025
59287,Haucourt-en-CambrÃ©sis,192,3,195
59288,Haulchin,2307,25,2332
59289,Haussy,1472,53,1525
59290,Haut-Lieu,374,8,382
59291,Hautmont,14197,67,14264
59292,Haveluy,3224,13,3237
59293,Haverskerque,1385,18,1403
59294,Haynecourt,305,7,312
59295,Hazebrouck,21785,415,22200
59296,Hecq,352,9,361
59297,HÃ©lesmes,1905,20,1925
59299,Hem,18579,145,18724
59300,Hem-Lenglet,552,8,560
59301,Hergnies,4471,34,4505
59302,HÃ©rin,4176,28,4204
59303,Herlies,2288,29,2317
59304,Herrin,426,8,434
59305,Herzeele,1627,34,1661
59306,Hestrud,299,3,302
59307,Holque,855,2,857
59308,Hondeghem,915,18,933
59309,Hondschoote,4010,81,4091
59310,Hon-Hergies,879,12,891
59311,Honnechy,558,4,562
59312,Honnecourt-sur-Escaut,722,16,738
59313,Hordain,1448,16,1464
59314,Hornaing,3522,32,3554
59315,Houdain-lez-Bavay,902,12,914
59316,Houplin-Ancoisne,3301,45,3346
59317,Houplines,7907,113,8020
59318,Houtkerque,982,19,1001
59319,Hoymille,3206,226,3432
59320,Illies,1688,16,1704
59321,Inchy,627,4,631
59322,Iwuy,3335,29,3364
59323,Jenlain,1137,27,1164
59324,Jeumont,10273,92,10365
59325,Jolimetz,860,14,874
59326,Killem,1172,16,1188
59327,Lallaing,6212,35,6247
59328,Lambersart,27105,453,27558
59329,Lambres-lez-Douai,4902,82,4984
59330,Landas,2482,43,2525
59331,Landrecies,3414,78,3492
59332,Lannoy,1791,8,1799
59333,Larouillies,239,7,246
59334,Lauwin-Planque,1593,21,1614
59335,Lecelles,3048,62,3110
59336,LÃ©cluse,1355,15,1370
59337,Lederzeele,705,19,724
59338,Ledringhem,618,19,637
59339,Leers,9555,67,9622
